ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Trọng tâm chính của phương pháp biểu đồ Histogram là giúp máy tính nhận biết điều gì?","Phân bố ánh sáng.","Nhận diện các khuôn mặt đang mỉm cười hiển thị bên trên.","Thuật toán tự động tìm kiếm đường viền cạnh và góc vật thể.","Cơ chế phân mảnh để chia nhỏ bức ảnh thành hàng triệu mảnh ghép.",A,"Máy tính dùng Histogram để cảm nhận sự phân bố ánh sáng tổng thể của bức hình."
2,"Trục tung (trục thẳng đứng) của biểu đồ Histogram biểu diễn thông tin gì của ảnh xám?","Cường độ sáng của điểm.","Số lượng điểm ảnh.","Mức độ sắc nét của mọi vật thể hiển thị.","Tỉ lệ khung hình vật lý hiển thị trên màn hình.",B,"Trục tung của Histogram đại diện cho Tần suất (Số lượng điểm ảnh) đạt mức cường độ sáng đó."
3,"Dựa vào Histogram, nếu tất cả các cột điểm ảnh đều co cụm xô đẩy nhau về phía bên trái (gần mốc 0) thì bức ảnh bị lỗi gì?","Dư sáng quá mức.","Tương phản khá thấp.","Bị nhiễu hạt nặng nề.","Bức ảnh thiếu sáng.",D,"Cột dồn về phía 0 (màu đen) chứng tỏ bức ảnh tối thui, bị bệnh thiếu sáng."
4,"Nếu Histogram có hai đầu trắng và đen trống trơn, điểm ảnh chỉ tụ tập thành một cục ở giữa, thì ảnh đang gặp vấn đề gì?","Tương phản thấp.","Cháy sáng quá mức kiểm soát.","Tối đen như mực chẳng thấy gì.","Lỗi tràn giá trị làm hỏng nội dung.",A,"Điểm ảnh tụt ở giữa nghĩa là ảnh nhờ nhờ xám xịt, không có đen thuần hay trắng thuần, bệnh này gọi là Tương phản thấp."
5,"Trong thư viện OpenCV, hàm nào thực hiện Cân bằng Histogram toàn cục (Global HE)?","cv2.calcHist().","cv2.equalizeHist().","cv2.createCLAHE().","cv2.LUT(image, table).",B,"Để gọi Cân bằng Histogram toàn cục, ta dùng đoạn code cv2.equalizeHist(image)."
6,"Hậu quả khó chịu nhất khi lạm dụng phương pháp Cân bằng Histogram toàn cục (Global HE) là gì?","Làm mây trời cháy sáng và nhiễu hạt.","Khiến tổng thể toàn bộ bức ảnh trở nên vô cùng tối tăm mờ mịt.","Thuật toán tự động cắt xén bớt đi những chi tiết quan trọng nhất.","Biến bức ảnh đa sắc màu ngay lập tức trở thành một tấm ảnh xám xịt.",A,"Global HE xử lý nguyên khối, tính ""nhanh, mạnh, rẻ"" làm các vùng tối hoặc màu đồng nhất bị kéo dãn quá tay gây nhiễu hạt (noise) và cháy mây."
7,"Phương pháp CLAHE khắc phục nhược điểm của Global HE bằng cách tiếp cận nào?","Tính toán cục bộ.","Nâng cao chất lượng độ phân giải phần cứng.","Biến đổi dữ liệu thành hàm logarit phức tạp bậc cao.","Sử dụng cảm biến ảnh thế hệ mới để dập tắt nhiễu từ camera.",A,"CLAHE chia tấm ảnh thành một lưới (grid) rồi tính toán cân bằng cục bộ cho riêng từng ô, giữ được chi tiết vốn có."
8,"Trong hệ thống thuật toán CLAHE, khái niệm ""Clip Limit"" đóng vai trò làm gì?","Cắt phần ngọn nhiễu hạt rải đều xuống.","Trực tiếp cắt xén bỏ bớt kích thước bức hình.","Phóng to và làm phóng đại tất cả mọi điểm sáng lóa.","Nhân đôi cường độ đối với những khu vực đang bị tối om.",A,"Clip limit (Ngưỡng cắt) vạt bớt những cột điểm ảnh vọt lên bất thường sinh nhiễu (Spike) rồi phân bổ lại (Redistribution) xuống các mức thấp hơn."
9,"Ứng dụng của kỹ thuật ""So khớp Histogram"" (Histogram Matching) chủ yếu nhằm mục đích gì?","Cắt ghép các bức ảnh lại với nhau.","Lọc bỏ toàn bộ lớp sương mù dày đặc.","Bắt chước phong cách ánh sáng nghệ thuật.","Tăng cường mức độ sắc nét cho những chi tiết siêu nhỏ.",C,"Matching dùng để ""Copy"" tông màu từ ảnh mẫu khoác lên ảnh gốc, cực kì phổ biến trong làm filter mạng xã hội hay Color Grading."
10,"Khái niệm CDF (Hàm phân bố xác suất tích lũy) chính là chìa khóa toán học của kỹ thuật gì?","Lọc nhiễu ảnh.","Cân bằng Histogram toàn cục.","Thuật toán cân bằng thích nghi CLAHE.","Kỹ thuật so khớp ảnh Matching.",D,"So khớp ảnh thực chất là ánh xạ (Mapping) chuyển đổi CDF ảnh gốc sao cho hình dáng xấp xỉ áp sát CDF ảnh mẫu."
11,"Bảng tra cứu LUT (Look-up Table) giúp cải thiện triệt để vấn đề gì khi lập trình xử lý ảnh?","Nâng độ nén ảnh.","Khôi phục chi tiết mờ.","Tối ưu hóa tốc độ chạy.","Cải thiện khả năng lưu trữ tệp.",C,"Dùng bảng thuộc sẵn LUT để tra cứu kết quả ngay thay vì phải tính toán lại từng pixel chậm chạp, giúp code chạy mượt mà, khử giật lag."
12,"Cú pháp hàm nào bên dưới giúp phần mềm thực thi cơ chế gọi bảng tra cứu LUT một cách cực lẹ?","cv2.findContours(image).","cv2.equalizeHist(image).","cv2.LUT(image, table).","cv2.createCLAHE(table).",C,"Áp dụng bảng siêu tốc bằng cú pháp cv2.LUT(image, table)."
13,"Kỹ thuật nào được thầy giáo ví như ""một cái búa tạ, đập rất mạnh nhưng thiếu tinh tế""?","Filter Matching.","Global HE.","CLAHE (Local).","Gamma Correction.",B,"Global HE chỉnh cả bức ảnh tức thì, tăng tương phản mạnh mẽ nhưng lại không bảo toàn được tiểu tiết nhẹ nhàng nên ví von như búa tạ."
14,"So sánh phương pháp CLAHE được xem là ""con dao mổ"" với ""búa tạ"" Global HE, ưu điểm của CLAHE là?","Giữ được chi tiết.","Không bao giờ cần phải điều chỉnh bất kỳ thông số nào.","Thời gian thi hành lệnh là vô cùng ngắn như cái búng tay ngay lập tức.","Thiết kế thuật toán cực kỳ giản đơn cho các lập trình viên mới bắt đầu tiếp cận.",A,"CLAHE chia lưới cục bộ, tựa như dao mổ phẫu thuật, nó bảo lưu rành rọt mọi chi tiết trên các bề mặt phức tạp nhưng đòi hỏi người dùng tốn công chỉnh thông số."
15,"Tiêu chuẩn vàng để làm sáng ảnh dùng trong lĩnh vực y tế (như X-quang, MRI) hay ảnh vệ tinh là?","CLAHE.","Kỹ thuật Cắt Ngưỡng (Thresholding).","Hệ thống Cân bằng đồ thị Toàn cục nhanh gọn.","Lọc nhiễu bằng thuật toán nhân chập làm mờ không gian ảnh.",A,"CLAHE khắc phục được đặc điểm đánh mất chi tiết của Global HE, nên trở thành chuẩn mực xử lý cho dạng ảnh chứa thông tin sinh mệnh y khoa."
16,"Một bức ảnh bị chụp ngược sáng tối thui thì đồ thị Histogram trông sẽ ra làm sao?","Lệch hẳn sang trái.","Dồn toàn bộ vào vị trí chính giữa màn hình.","Cột phân bố trải dài đều đặn từ trái sang phải.","Các cột điểm ảnh tập trung tụt biến hết mức sang bên lề phải.",A,"Ở những tấm chụp ngược sáng người, mặt sẽ rất tối do đó vô số cột dữ liệu cường độ sáng sẽ thấp, xô đẩy nhau tấp lề trái (mốc 0)."
17,"Thầy giáo ví von bước tái phân bổ ngọn Spike bị cắt (Redistribution) trong CLAHE giống như hành động gì?","Đổ bê tông móng nhà tầng.","Xới đất gieo hạt giống nhỏ.","San lấp mặt bằng xây nhà.","Tưới nước rẫy cà phê nhà lưới.",C,"Cơ chế chặn ngưỡng gọt phần nhô cao lấp xuống khu vực thấp trống trải nhìn hệt như kỹ nghệ máy xúc san phẳng làm mặt nền móng mượt đẹp hài hòa."
18,"Yêu cầu bắt buộc trong bài Lab 2.1 về so sánh hiệu quả cải thiện ảnh là sinh viên phải lập trình được thao tác gì?","Chèn thêm bộ icon ngộ nghĩnh.","Xuất tấm ảnh ra file định dạng PDF.","Chia sẻ tự động lên mạng xã hội phổ biến toàn cầu.","Vẽ biểu đồ Histogram song song.",D,"Giáo viên ra yêu cầu khắt khe để sinh viên tận ngắm được các cột Histogram đổi khác trước - sau thì bắt buộc phải tích hợp lệnh vẽ biểu đồ."
19,"Dân IT khoái nhất kỹ thuật dùng LUT (Look-up Table) bởi đặc điểm tính năng nào cực xịn?","Không giật lag.","Dễ dàng đổi màu các mảng lớn.","Rất khó để cho hacker tự ý ăn cắp mã nguồn lệnh ra bên ngoài.","Dung lượng lưu trữ luôn luôn nằm dưới một trăm Kilobytes tuyệt đối.",A,"Những bảng tính lưu kết quả LUT tra cứu thần tốc làm máy vận hành mượt mà nhẹ bẫng cân được luồng video tốc độ cao 60 khung hình xíu xiu."
20,"Trong kỹ thuật Matching (So khớp), bức hình ""ảnh mẫu"" đóng vai trò gì cho quá trình biến đổi?","Bộ lọc khử nhòe.","Cung cấp phong cách ánh sáng màu.","Cung cấp khuôn mặt đối tượng nhận dạng tự động.","Trích xuất phông làm mờ nền như máy ảnh bán chuyên.",B,"Khớp ảnh nhắm tới sự hóa thân mượt mà, ""Copy"" tông ấm đỏ từ biểu đồ ảnh mẫu rồi trộn tát vào sắc xám lạnh của ảnh gốc."
