ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Lợi ích cốt lõi của việc phát hiện đường biên (Edge Detection) đối với hệ thống trí tuệ nhân tạo là gì?","Giảm dung lượng tính toán, giữ lại cấu trúc.","Biến đổi tất cả các dải màu của hình ảnh về lại định dạng gốc.","Tự động lấp đầy các khoảng trống màu sắc bị mất đi trên bức ảnh.","Phân tích thành phần chi tiết của từng hạt nhiễu dính trên thiết bị.",A,"Bằng cách gọt vứt cả triệu pixel thừa, chỉ thu lấy viền khung, Edge Detection giảm chi phí tính toán lưu trữ nhưng vẫn bắt chẹt được hình dạng vật thể."
2,"Về mặt định nghĩa tín hiệu và thị giác máy tính, đường biên thực chất được hiểu là gì?","Sự thay đổi đột ngột cường độ sáng.","Một đường thẳng dốc chéo được vẽ sẵn bằng hệ phím công cụ.","Nơi tập trung toàn bộ các sắc độ ánh sáng chói chang vươn tới cao trào.","Điểm giao thoa hội tụ của hai dòng màu sắc hoàn toàn trái ngược nhau.",A,"Đường biên (Edge) chính là nơi chứa đựng các pixel có chỉ số phân tách mức sáng thay đổi kịch liệt chênh lệch một cách vô cùng đột ngột."
3,"Mô hình vùng tiếp giáp nhảy vọt mức sáng từ thấp (0) lên cao (255) tạo thành vách đứng, trong lý thuyết được gọi tên là gì?","Step Edge (Bước nhảy).","Khung Gradient tuần hoàn.","Đồ thị vi phân phương ngang.","Trục hoành chiếu hệ dốc nghiêng.",A,"Step Edge miêu tả lý thuyết một bước rớt đồ thị nhảy cấp như cái vách đá dựng rớt từ mép bát sáng 255 xuống mặt bàn tối đen 0."
4,"Trong thực tế quang học, sự chuyển giao màu sắc của biên vật thể không bao giờ vuông một góc 90 độ hoàn hảo mà tạo hình dạng gì?","Một con dốc mờ nhòe.","Một hình zig-zag có trật tự đứt gãy không ngừng.","Khối cầu phân mảnh ánh sáng nhô lên hình lập phương.","Các đường nét lốm đốm phân bổ trải rộng không đồng đều.",A,"Do quang học và thiết bị lens, sự chuyển dịch cường độ không cắt vuông góc sắc lém mà thường bị lem luốc mờ thành con dốc trơn gọi là vùng chuyển tiếp."
5,"Nguyên lý toán học cốt lõi để thu lượm xác định chính xác vị trí của đường biên trên một bức ảnh là đi tìm điểm nào?","Cực trị (đỉnh chóp) của đạo hàm.","Vùng giao điểm của hàm số bậc n tích phân siêu không gian.","Vị trí xuất hiện nhiều lượng hạt nhiễu trắng rơi rớt ngẫu nhiên.","Ngay tại trọng tâm của ma trận Kernel được mã hóa mặc định chẵn.",A,"Biên nằm tại vị trí dao động cường độ cực lớn, theo giải tích chính là cực trị (đỉnh) của đạo hàm cường độ bậc 1."
6,"Khi áp dụng bộ lọc Sobel X (tính đạo hàm theo phương ngang), thuật toán sẽ ưu tiên giúp phát hiện ra loại viền biên nào?","Các đường biên dọc.","Mọi loại đường uốn lượn cong vẹo phức tạp.","Quét những biên chéo góc của các vật thể nổi 3D.","Điểm sáng lấp lánh xuất hiện trên nền bức ảnh xám.",A,"Khi kéo ma trận quyét vuông góc theo vệt phương ngang, mũi dò Sobel X sẽ tóm dính được nét biến đổi cắt ngang (những biên đường viền trải dọc)."
7,"Để phân tích được toàn diện cấu trúc của một vật thể đa chiều trong không gian, thuật toán cần làm thao tác gộp Sobel X và Sobel Y tạo thành khái niệm gì?","Tổng hợp Gradient.","Bổ trợ ma trận hoán vị tương đương.","Phân tích chéo ma trận nghịch đảo.","Sàng lọc điểm ảnh qua bộ vi phân song hành.",A,"Tổng hợp Gradient (Gradient Magnitude) dùng vi phân Pytago để gộp tác động của cả X và Y làm bức tượng thể hiện chuẩn mực biên ở mọi góc nghiêng."
8,"Bộ lọc Laplacian (đại diện cho phần đạo hàm bậc 2) xác định tâm điểm của đường biên bằng cách lần mò đi tìm tính chất toán học gì?","Zero-crossing (Giao điểm 0).","Tìm vùng hội tụ của dải màu sáng và dải tối lan tỏa.","Đỉnh chóp có chỉ số giá trị dương cao nhất trong hệ.","Tính nhẩm khoảng cách từ tâm lưới trượt ra ngoài viền.",A,"Đạo hàm bậc 2 của cường độ (Laplacian filter) giao chéo cắt trực diện đường hoành tại Zero-Crossing báo điểm chuẩn xác chóc của vị trí tâm biên."
9,"Ưu điểm tuyệt đối cực kì mạnh mẽ của ma trận kernel Laplacian kích thước 3x3 so với phương pháp Sobel là tính chất gì?","Isotropic (Đẳng hướng).","Có khả năng tự phân tách màu sắc nền ngay trong đêm tối.","Khử sạch hoàn toàn nhiễu hạt bụi dính trên ống kính quang.","Tính ra luôn diện tích của vật thể được khoanh vùng bao quanh.",A,"Với đặc tính đẳng hướng (Isotropic), một lưới gạt ma trận Laplacian duy nhất 3x3 có thể săn đón mọi đường mép chạy theo bất kỳ hướng nào, thay vì chạy đôi như Sobel."
10,"Nghịch lý kinh điển xảy ra khi bức ảnh thực tế bị nhiễu răng cưa lởm chởm và chúng ta lại áp phép tính toán đạo hàm trực tiếp lên nó là gì?","Đạo hàm khuếch đại nhiễu mảnh.","Bức ảnh sẽ ngay lập tức co ngót kích thước xuống cực tiểu.","Hệ thống lập tức sập nguồn do quá tải năng lực xử lý xung nhịp.","Toàn bộ vùng tối sáng bị chuyển đổi đảo ngược giá trị âm dương.",A,"Bản chất phép kéo đạo hàm vi phân là bóc tách làm giãn thay đổi, do vậy nó nhảy bén bốc khuếch đại nát bét dải sóng nhiễu hạt lởm chởm làm hỏng trích xuất."
