ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Chủ đề cốt lõi của bài thực hành Lab 2.2 trong Tiết 6 là gì?","Định tuyến các mảng dữ liệu song song tốc độ cao.","Tích chập và Khôi phục ảnh.","Gán nhãn dữ liệu hộp giới hạn cho các hệ thống xe.","Phân lớp dữ liệu ảnh y tế khổng lồ bằng mạng nơ-ron sâu.",B,"Tiết 6 của Chương 2 tập trung sâu vào nội dung thực hành Lab 2.2 với chủ đề: Tích chập (Convolution) và Khôi phục ảnh."
2,"Hoạt động của phép Tích chập (Convolution) trên ảnh được thầy giáo ví von sinh động giống với hành động thực tế nào?","Cắt đôi bức ảnh bằng một đường kéo thẳng thớm ở giữa tâm.","Bóp méo toàn bộ ống kính máy quay siêu rộng.","Trượt chiếc kính lúp qua từng cm.","Phóng to bức ảnh lên kích thước hàng chục lần mà không bể.",C,"Tích chập được lý giải như việc sử dụng một chiếc kính lúp nhỏ trượt từ từ qua từng centimet trên một bức tranh khổng lồ."
3,"Việc áp dụng các filter làm mịn da mụn hay đổi bộ màu trên Instagram thực chất là quá trình máy tính đang chạy ngầm hệ phép toán gì?","Tích chập ma trận hàng triệu điểm.","Trực tiếp can thiệp và bóp méo luồng dữ liệu sóng thu về.","Tạo mã hệ nhị phân và gửi thẳng đường truyền lên máy chủ.","Chặn đứng quá trình cảm nhận màu sắc tự nhiên của cảm biến ánh sáng.",A,"Sau lưng những công cụ filter chỉnh sáng lấp lánh đó chính là hàng triệu phép toán tích chập đang chạy ngầm trên GPU thiết bị."
4,"Nguyên lý ""Neighborhood Operations"" (Xử lý vùng lân cận) đưa ra ràng buộc nhấn mạnh việc muốn thay đổi 1 điểm ảnh hiện tại thì máy tính phải làm gì?","Gửi toàn bộ cụm dữ liệu đó vào thư mục rác hệ thống ổ cứng.","""Hỏi ý kiến"" các điểm ảnh xung quanh.","Xóa sổ hoàn toàn cấu trúc hiển thị hiện hành của thiết bị phát.","Đồng loạt tăng chỉ số điểm chói lóa sáng nhất trong khuôn hình.",B,"Ảnh mới muốn gán trị số, bắt buộc không còn làm độc lập mà phải chập Kernel khảo sát hỏi thăm các điểm lân cận xung quanh."
5,"Vì sao khi học viên sáng tạo tự định nghĩa ma trận Kernel Làm Nét (Sharpen), tổng các phần tử trong ma trận đó bắt buộc phải cộng lại bằng 1?","Để thiết bị chạy khởi tạo đồ họa kết nối phần cứng nhanh x2 tốc độ.","Để làm cho tấm hình được chập thu bé lại kích thước chuẩn mini.","Để đảm bảo giữ nguyên độ sáng tổng thể.","Để máy chủ không tiêu hao năng lượng và lượng pin trong suốt quá trình.",C,"Quy tắc cộng mảng chập bằng 1 bảo chứng ảnh xuất xử lý làm nét xong không bị tối sầm sậm hay đứt đoạn cháy bóng vọt lượng sáng."
6,"Để tạo ra bộ lọc sắc nét (Sharpen Kernel), trọng số của phần tử pixel nằm ở chính giữa trung tâm thường được thiết lập như thế nào so với các điểm hàng xóm?","Giảm xuống dưới mức 0 để ảnh hoàn toàn mất đi độ nét.","Đặt một giá trị rất lớn (ví dụ: 5).","Đẩy thành giá trị thập phân lẻ loi.","San bằng lấy đồng đều theo tổng điểm.",B,"Ma trận làm nét khuếch đại tâm điểm tạo tính đanh thép cạnh biên gai góc bằng việc set tâm vọt bốc lên cực cao (vd: 5), xung quanh bị trừ đi rải rác (-1)."
7,"Trong quy trình ""Edge Detection Art"" biến một tấm ảnh thành tác phẩm phác thảo nghệ thuật vẽ chì, tại sao thuật toán bắt buộc phải dùng gõ lệnh Invert lộ ngược ở khâu cuối cùng?","Để chuyển nền thành trắng, nét vẽ màu đen.","Do hệ máy tính không thể đếm được các con số trong ma trận ảo lân cận.","Để xóa sạch một nửa bên trái khung ảnh và phóng to nửa bên phải.","Bắt con bot dò quét phải làm nổi khối 3D đắp vào khung đồ hình.",A,"Sau vòng bắt vạch biên Sobel Magnitude, nền ảnh tuyền đen còn lại biên sáng nhấp nháy, buộc nhấn lật chéo Invert để mô phỏng tranh bút ngòi chì (nền giấy trắng, nét chì vạch mun)."
8,"Thiết kế số âm nằm bên trái và số dương nằm bên phải bên trong ma trận dò gạt của Sobel X thực tế nhằm phục vụ cho cơ chế toán học nào?","Tiến hành đảo xoay màn hình tự động và xuất file ra.","Lấy giá trị điểm bên phải trừ bên trái.","Tăng độ sáng lóa cho những vùng biên bị khuất chìm sâu.","Gom tất thảy rác thải dữ liệu đẩy bay ra khu vực mép ngoài.",B,"Tích chập Sobel X dùng một bên cộng và một bên trừ chập gộp lại, y như động thái triệt tiêu cái giống và phát lộ chênh lệch rành rọt mép phải trừ mép trái."
9,"Loại nhiễu nhiễu sóng li ti xám xịt có tên gọi Gaussian Noise do nguyên nhân gốc rễ nào gây nên và thường biểu hiện dạng gì trên khung hình tĩnh xuất ảnh?","Lỗi ống kính bị nứt vỡ do hệ thống màn chập quá nhạy cảm ánh sáng.","Biến động cảm biến, dạng nhiễu sóng tivi.","Cấu trúc hạt tiêu đốm đen thui đặc kịt bám dày vào vị trí tâm ở giữa.","Do thay đổi hệ màu từ kênh âm dương sang kênh phân liệt đứt gãy sọc.",B,"Mô tuýp nhiễu nền rải mờ đều Gaussian do trục trặc tính toán phân mạch Sensor Noise (cảm biến bấp bênh ngẫu nhiên) mô phỏng ti vi nhoè rớt đài bắt sóng."
10,"Ràng buộc thực tiễn vô cùng khắc nghiệt khi sinh viên gặp phải bài toán nan giải ""Mixed Noise"" (Nhiễu hỗn hợp hạt đốm lẫn mờ nhoè) là điểm mấu chốt gì?","Sẽ luôn gây crash, đứng máy hoàn toàn hệ phần mềm mã code.","Không có bộ lọc đơn lẻ nào trị được.","Các thông số bắt buộc phải được xuất ra trên thiết bị quang cực chuẩn.","Lập trình viên phải đổi dùng qua thuật toán xử lý vùng miền không gian màu.",B,"Nỗi ám ảnh kinh hoàng do cả nhiễu muối lốm đốm cộng thêm nhiễu sóng mờ khiến không một loại lưới lọc độc bá bộ môn một thân một mình dọn dẹp quét thành công."
