ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Theo bài học giới thiệu, mục đích chính của việc sử dụng các phép xử lý ánh sáng phi tuyến tính là để làm gì?","Chỉ nhằm chuyển đổi toàn bộ bức ảnh sang một dải màu trắng đen cơ bản nhất.","Cứu vùng tối rành rọt mà không cháy sáng các vùng khác.","Ngay lập tức thay đổi toàn bộ không gian hệ màu sang một màu xám xịt mịt mù.","Tiến hành nội suy tất cả nội dung dự kiến sẽ hiển thị dựa trên những điểm lân cận.",B,"Xử lý phi tuyến tính (như Gamma) cứu được vùng tối nằm lẩn khuất trong góc mà không làm cháy lóa vùng đã đủ sáng."
2,"Trong ví dụ của người thầy, tăng sáng tuyến tính giống như hành động nào ngoài đời thực?","Vặn nút âm lượng tivi lên.","Cố gắng tập trung mở thật to mắt ra để nhìn vào khoảng không.","Sửa chữa trực tiếp các lỗi phần cứng của màn hình hiển thị cũ kỹ.","Việc liên tục thay đổi vị trí của các nguồn sáng xung quanh bức hình.",A,"Tăng sáng tuyến tính được ví von như vặn nút âm lượng tivi, mọi điểm ảnh sáng tối đều sẽ đồng loạt tăng lên như nhau."
3,"Nếu chụp ảnh ban đêm tại Quảng trường 10/3 Buôn Ma Thuột và áp dụng hàm tăng sáng tuyến tính, hiện tượng nào sẽ lập tức xảy ra?","Bức ảnh sẽ trông giống y hệt như thể được chụp vào giữa ban ngày trưa hè.","Phần mềm buộc phải tự động thu nhỏ kích thước của bức ảnh xuống còn một nửa.","Chỗ đèn cháy trắng, góc khuất vẫn đen.","Mọi đối tượng bên trong bức ảnh sẽ trở nên mờ nhạt và mất hết mọi chi tiết cạnh.",C,"Do tuyến tính cộng đều lượng sáng cho mọi nơi, chỗ tối chưa kịp sáng rành rẽ thì chỗ có đèn đường đã bị cộng vọt lên cháy xóa trắng lóa."
4,"Ý nghĩa trọng tâm của nhận định ""Mắt người không cảm nhận ánh sáng theo đường thẳng"" là gì?","Nhạy cảm vùng tối hơn sáng.","Mắt con người hoàn toàn không thể nhận diện nổi bất cứ màu sắc nào trong đêm tối.","Mắt người luôn luôn ghi nhận ánh sáng một cách hoàn toàn tuyến tính thẳng tắp.","Mắt của chúng ta sẽ nhìn sự vật bị bóp méo hình dạng khi ánh sáng liên tục chiếu tới.",A,"Lý thuyết sinh học thị giác chỉ ra con người cực kì nhạy cảm để nhận biết sự vật và thay đổi dù là li ti bên trong bóng tối (nhạy cảm vùng shadows) hơn là vùng quá sáng."
5,"Trong công thức Gamma Correction (g(x) = c * f(x)^gamma), nếu lựa chọn giá trị gamma nhỏ hơn 1 thì đặc điểm đồ thị là gì?","Đồ thị biến đổi thành một đường vồng lên phía trên.","Nó tạo ra đường thẳng đứng tắp chéo góc từ phải sang trái.","Đồ thị sẽ ngay lập tức được vẽ phân bố trải rộng xuống hướng ở tận góc tận cùng.","Tạo thành một dải biểu diễn phân bổ liên tục theo quy ước hình xoắn ốc khép kín.",A,"Khi Gamma < 1, đường cong hàm số lượng giác mũ sẽ vồng lên nằm cao hơn hàm y=x, kéo các chỉ số của điểm tối dâng cao lên thành tông sáng vừa phải."
6,"Khó khăn lớn mạnh nhất về phương diện hệ thống máy tính nếu phải dùng vòng lặp chạy tính toán trực tiếp công thức Gamma là ở điểm nào?","Phần mềm bị giật lag treo máy.","Lệnh vòng lặp buộc phải lập ra thao tác thay đổi toàn bộ không gian hệ màu.","Thuật toán này chỉ có thể thay đổi kết quả ảnh sau khi ảnh gốc đã được nén rất nhỏ.","Bắt buộc các lập trình viên sử dụng một chuỗi phép toán nội suy để chủ động lọc ảnh.",A,"Nếu tính vòng lặp 2 triệu điểm ảnh x phép toán phẩy động (pow) vô cùng lằng nhằng phức tạp sẽ gây nghẽn cổ chai CPU, sụt FPS, giật lag."
7,"Giải pháp giải quyết bài toán hiệu năng điện toán tính toán hàm mũ khổng lồ tốn kém thời gian là kỹ thuật gì?","Kỹ thuật Bảng tra cứu (LUT).","Tiến hành giảm giá trị alpha xuống để thu hẹp dải biểu diễn.","Trang bị ngay lập tức phần cứng các máy chủ cấu hình siêu hạng.","Dùng mảng một chiều loại bé để liên tục cắt gọt loại trừ bớt những điểm quá chói.",A,"Look-Up Table (LUT) loại bỏ hoàn toàn tính toán lặp lại tốn kém, bằng chiến lược tiền xử lý thuộc lòng sẵn kết quả vào từng ô chữ để tra cứu siêu lẹ."
8,"Tại sao khi áp dụng bảng LUT, dữ liệu bắt buộc phải được xuất ép về số nguyên định dạng kiểu uint8?","Để lưu kết quả pixel.","Gây sự thay đổi màu sắc hiển thị tức thời tạo hiệu ứng ảnh phim ảo diệu.","Nhằm mục đích kéo giãn khoảng cách của hai đầu cực âm dương đồ thị.","Vì máy tính yêu kiều đòi hỏi thao tác đó để có thể gửi tệp đi thật nhanh qua mạng lưới internet.",A,"Do cấu trúc khung ảnh số hệ màu cơ bản giới hạn 8-bit, giá trị điểm ảnh chỉ được phép mang số nguyên dương trong giới hạn khắt khe từ 0-255."
9,"Tham số đầu tiên bắt buộc phải khai báo khi truyền vào hàm khởi tạo cv2.createCLAHE là thông số nào?","Mức clipLimit.","Ký hiệu vòng gỡ lỗi.","Tên tệp của thư mục ảnh.","Hằng số của phép chia trung bình.",A,"Cú pháp chính xác yêu cầu truyền ngay tham số ngưỡng cắt nhiễu clipLimit = 2.0 (thông thường) để thuật toán cắt chặn trước khi chạy lưới."
10,"Thuật ngữ ""Sweet Spot"" (Điểm ngọt) khi kéo thanh trượt điều chỉnh đồ thị Gamma hướng tới giá trị thẩm mỹ nào?","Mây giữ được, vùng tối sáng rõ lên.","Vật thể trong bức hình lập thể có kích thước hình dạng to lớn ra đáng ngạc nhiên.","Điểm sáng loá cháy lóa sẽ ngay lập tức biến dạng hóa thành những điểm mù chấm đen.","Bầu trời rực sáng che khuất hết nhược điểm của những vùng nền bị thiếu thốn ánh sáng.",A,"Điểm ngọt (Sweet Spot) nhắm trúng chỉ số Gamma vừa vặn, đủ khều vùng tối sáng bừng khoe chi tiết nhưng lại không kéo mây cháy trắng xóa."
11,"Nhược điểm kinh điển của thuật toán Cân bằng Histogram toàn cục (Global Equalization) là thường gây ra hiện tượng xấu gì?","Bầu trời bị cháy sáng (washed out) và nhiễu hạt nặng nề.","Làm tông màu của toàn bộ bức ảnh bị u ám và vô cùng tối tăm.","Các đối tượng bên trong bức hình sẽ hoàn toàn biến mất khỏi trung tâm.","Phần viền cạnh mây trời sẽ bị tự động thu nhỏ lại kích thước siêu bé tí hon.",A,"Global HE sửa lỗi rất lố, búa tạ quật dãn toàn vùng khiến chi tiết sáng như đám mây bị chói ""washed out"" trắng nhởn hòa cất tiếng kêu khóc vì nhiễu hạt (noise)."
12,"Chức năng cốt lõi của thông số ""tileGridSize"" trong hàm CLAHE làm nhiệm vụ gì?","Băm tấm ảnh thành lưới nhiều ô nhỏ.","Phóng đại mọi thứ theo hệ tỉ lệ siêu lớn.","Đảo chuyển vùng phân bố để lấy các hạt nhiễu ra ngoài.","Thực hiện làm trơn mọi nét cắt làm mảnh lại cạnh cho nét.",A,"Nhờ tileGridSize (mặc định 8x8), công cụ có khả năng cắt chia ảnh gốc nát ra thành các thửa lưới thửa tựa bàn cờ để xử lý khéo léo."
