ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Mô hình camera đơn giản nhất về mặt hình học được sử dụng trong thị giác máy tính để mô tả quá trình tạo ảnh là gì?","Mô hình Camera mắt cá (Fisheye Camera Model).","Mô hình Camera lỗ kim (Pinhole Camera Model).","Mô hình Camera toàn cảnh (Panoramic Camera Model).","Mô hình Camera lập thể (Stereo Camera Model).",B,"Mô hình Camera lỗ kim (Pinhole Camera Model) là mô hình hình học đơn giản nhất, mô tả ánh sáng đi qua một lỗ nhỏ để tạo ảnh ngược chiều trên mặt phẳng đối diện."
2,"Quá trình ""Số hóa"" (Digitization) chuyển đổi một cảnh liên tục thành ảnh số bao gồm hai bước chính nào?","Lấy mẫu (Sampling) và Lượng tử hóa (Quantization).","Lọc nhiễu (Filtering) và Nén dữ liệu (Compression).","Phơi sáng (Exposure) và Cân bằng trắng (White Balance).","Chụp ảnh (Capturing) và Lưu trữ (Storing).",A,"Quá trình số hóa gồm 2 bước: Lấy mẫu (Sampling) để rời rạc hóa tọa độ không gian, và Lượng tử hóa (Quantization) để rời rạc hóa giá trị biên độ (màu sắc/độ sáng)."
3,"Trong thư viện OpenCV, một bức ảnh màu mặc định được lưu trữ trong bộ nhớ theo thứ tự kênh màu nào?","R-G-B (Red - Green - Blue).","C-M-Y (Cyan - Magenta - Yellow).","B-G-R (Blue - Green - Red).","H-S-V (Hue - Saturation - Value).",C,"Khác với chuẩn RGB thông thường, OpenCV mặc định đọc và lưu trữ ảnh theo thứ tự kênh màu B-G-R (Blue - Green - Red)."
4,"Thư viện Python nào đóng vai trò là công cụ lõi để xử lý ảnh dưới dạng các mảng đa chiều (ma trận số)?","Matplotlib.","NumPy.","Scikit-learn.","Pandas.",B,"NumPy là thư viện lõi cung cấp đối tượng mảng đa chiều (ndarray), là cấu trúc dữ liệu cơ bản để biểu diễn và xử lý ảnh số trong Python."
5,"Không gian màu nào được tạo ra bằng cách kết hợp ba nguồn sáng cơ bản: Đỏ, Lục và Lam?","Không gian màu CMYK.","Không gian màu HSV.","Không gian màu Grayscale.","Không gian màu RGB.",D,"Không gian màu RGB được tạo thành (cộng tính) từ việc phối hợp ba nguồn sáng cơ bản là Red (Đỏ), Green (Lục), và Blue (Lam)."
6,"Một điểm ảnh (Pixel) trong ảnh số được định nghĩa là gì?","Một đơn vị đo chiều dài vật lý trên cảm biến camera.","Một phần tử ảnh nhỏ nhất mang giá trị số biểu thị cường độ sáng hoặc màu sắc.","Một hình vuông nhỏ nhất có thể nhìn thấy được bằng mắt thường trên màn hình.","Một vector chỉ hướng của ánh sáng đi vào ống kính camera.",B,"Pixel (Picture Element) là phần tử nhỏ nhất của ảnh số, chứa giá trị số đại diện cho cường độ sáng (ảnh xám) hoặc màu sắc (ảnh màu) tại vị trí đó."
7,"Trong mô hình camera lỗ kim, mối quan hệ giữa tọa độ ảnh (x), tiêu cự (f), tọa độ thực tế (X) và độ sâu (Z) là gì?","Tọa độ ảnh x tỉ lệ nghịch với tiêu cự f và tỉ lệ thuận với độ sâu Z.","Tọa độ ảnh x tỉ lệ thuận với tiêu cự f và tỉ lệ nghịch với độ sâu Z.","Tọa độ ảnh x bằng tổng của tiêu cự f và độ sâu Z.","Tọa độ ảnh x không phụ thuộc vào độ sâu Z của vật thể.",B,"Theo tam giác đồng dạng trong mô hình lỗ kim: x = f * (X / Z). Do đó x tỉ lệ thuận với f và tỉ lệ nghịch với độ sâu Z (luật xa gần)."
8,"Nhược điểm chính của không gian màu RGB khi áp dụng vào các thuật toán nhận dạng vật thể là gì?","Không thể biểu diễn được màu trắng và màu đen tuyệt đối.","Thông tin về màu sắc và độ sáng bị trộn lẫn, khiến nó nhạy cảm với thay đổi ánh sáng.","Số lượng màu sắc có thể biểu diễn bị giới hạn chỉ trong 256 màu.","Tốn nhiều dung lượng bộ nhớ lưu trữ hơn so với các không gian màu khác.",B,"Trong RGB, thông tin cường độ sáng và màu sắc không tách biệt (tăng sáng thay đổi cả R, G, B), khiến nhận dạng dựa trên màu sắc kém ổn định khi ánh sáng thay đổi."
9,"Trong không gian màu HSV, thành phần ""Saturation"" (Độ bão hòa) biểu thị điều gì?","Loại màu sắc cơ bản (ví dụ: đỏ, xanh, vàng).","Độ sáng tối của màu sắc (tương đương với mức xám).","Độ tinh khiết hoặc độ đậm nhạt của màu (pha bao nhiêu màu xám).","Góc chiếu của ánh sáng lên bề mặt vật thể.",C,"Saturation (Độ bão hòa) thể hiện độ tinh khiết của màu. Giá trị cao là màu rực rỡ, giá trị thấp là màu nhạt dần về xám (bị pha tạp)."
10,"Tham số nội tại (Intrinsic Parameters) của camera bao gồm những thông tin gì?","Vị trí và hướng quay của camera trong không gian thế giới thực.","Tiêu cự, tọa độ tâm quang học và độ xiên của trục cảm biến.","Độ phân giải màn hình hiển thị và tốc độ khung hình video.","Độ mở ống kính (khẩu độ) và thời gian phơi sáng.",B,"Tham số nội tại mô tả đặc tính bên trong của camera, bao gồm tiêu cự (f), tọa độ tâm quang học (cx, cy) và hệ số xiên (skew)."
