ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer
1,"Thư viện Python nào đóng vai trò nền tảng để biểu diễn hình ảnh dưới dạng các mảng đa chiều trong bộ nhớ máy tính?","Pandas (Python Data Analysis Library).","NumPy (Numerical Python).","Matplotlib (Plotting Library).","Scikit-learn (Machine Learning).",B
2,"Khi sử dụng hàm cv2.imread() để đọc một bức ảnh màu, OpenCV mặc định sắp xếp các kênh màu theo thứ tự nào?","R-G-B (Red - Green - Blue).","C-M-Y (Cyan - Magenta - Yellow).","B-G-R (Blue - Green - Red).","H-S-V (Hue - Saturation - Value).",C
3,"Lệnh cv2.waitKey(0) có ý nghĩa gì khi hiển thị ảnh trong cửa sổ giao diện?","Chờ đúng 0 mili-giây rồi tự động đóng cửa sổ hiển thị ngay lập tức.","Chờ người dùng nhấn một phím bất kỳ vô hạn thời gian trước khi tiếp tục.","Chờ cho đến khi video phát hết toàn bộ các khung hình rồi mới dừng lại.","Khởi động lại hệ thống cửa sổ hiển thị về trạng thái ban đầu (reset).",B
4,"Để truy cập vào webcam mặc định của máy tính, tham số nào cần được truyền vào hàm cv2.VideoCapture()?","Đường dẫn file video (ví dụ: ""webcam.mp4"").","Số nguyên 0 (hoặc -1).","Địa chỉ IP của camera mạng.","Tên thiết bị (ví dụ: ""USB Camera"").",B
5,"Tại sao khi sử dụng plt.imshow() của Matplotlib để hiển thị trực tiếp ảnh vừa đọc bằng OpenCV, màu sắc thường bị sai (ví dụ: da người bị ám xanh dương)?","Do Matplotlib không hỗ trợ độ phân giải cao như OpenCV.","Do định dạng file ảnh gốc bị lỗi trong quá trình tải về.","Do sự sai lệch thứ tự kênh màu (OpenCV là BGR, Matplotlib là RGB).","Do màn hình máy tính chưa được hiệu chỉnh màu sắc chính xác.",C
6,"Cách kiểm tra an toàn nhất để biết một bức ảnh có được đọc thành công bằng cv2.imread hay không là gì?","Kiểm tra xem tên file có kết thúc bằng .jpg hay không.","Kiểm tra xem biến chứa ảnh có giá trị là None hay không.","Kiểm tra kích thước file trên ổ đĩa cứng trước khi đọc.","Sử dụng hàm cv2.isShow() để xem ảnh có hiện lên không.",B
7,"Để truy cập giá trị của một điểm ảnh (pixel) tại hàng y và cột x trong mảng ảnh img, cú pháp nào sau đây là đúng?","value = img(x, y)","value = img[x, y]","value = img[y, x]","value = img.get(x, y)",C
8,"Trong bài tập ghi video 10 giây, nếu camera hoạt động ở tốc độ 30 FPS, vòng lặp ghi hình cần chạy bao nhiêu lần?","10 lần.","30 lần.","100 lần.","300 lần.",D
9,"Khi khởi tạo đối tượng cv2.VideoWriter để ghi video, tham số nào quyết định định dạng mã hóa (codec) của file đầu ra?","Tốc độ khung hình (FPS).","Mã FourCC (ví dụ: 'MJPG', 'XVID').","Kích thước khung hình (Frame Size).","Tên file đầu ra.",B
10,"Lệnh img.shape trả về kết quả là (480, 640, 3). Thông số này có ý nghĩa gì?","Ảnh có chiều rộng 480, chiều cao 640 và 3 kênh màu.","Ảnh có chiều cao 480, chiều rộng 640 và 3 kênh màu.","Ảnh có độ phân giải 480x640 và dung lượng 3 MB.","Ảnh có 480 lớp, 640 điểm ảnh và 3 hệ màu.",B
11,"Để tách riêng kênh màu Xanh dương (Blue) từ một bức ảnh màu img (chuẩn BGR) bằng kỹ thuật cắt lát (slicing) của NumPy, câu lệnh nào đúng?","blue_channel = img[:, :, 0]","blue_channel = img[:, :, 1]","blue_channel = img[:, :, 2]","blue_channel = img[0, :, :]",A
12,"Trong vòng lặp hiển thị video, lệnh if cv2.waitKey(1) & 0xFF == ord('q'): break có tác dụng gì?","Tự động thoát chương trình sau 1 giây nếu không có tín hiệu video.","Chờ 1ms, nếu người dùng nhấn phím 'q' thì thoát khỏi vòng lặp.","Chuyển đổi video sang định dạng chất lượng cao (Quality) sau 1ms.","Tạm dừng video và chờ người dùng nhập lệnh tiếp theo.",B
13,"Phương thức cap.release() và video_out.release() ở cuối chương trình xử lý video có vai trò quan trọng gì?","Giải phóng bộ nhớ RAM đã cấp phát cho các biến cục bộ.","Đóng kết nối camera và đóng file video để lưu dữ liệu an toàn.","Xóa toàn bộ video vừa ghi để dọn dẹp ổ đĩa cứng.","Tự động gửi file video qua email cho người quản trị.",B
14,"Công thức chuẩn để chuyển đổi thủ công một pixel màu (R, G, B) sang giá trị xám (Gray) dựa trên độ nhạy của mắt người là gì?","Gray = (R + G + B) / 3","Gray = 0.5 * R + 0.5 * B","Gray = 0.299 * R + 0.587 * G + 0.114 * B","Gray = 0.33 * R + 0.33 * G + 0.33 * B",C
15,"Đoạn code img[100:110, :] = 0 thực hiện thao tác gì trên bức ảnh?","Cắt bỏ vùng ảnh từ hàng 100 đến 110 và lưu vào biến mới.","Vẽ một dải màu đen ngang qua toàn bộ chiều rộng ảnh từ hàng 100 đến 110.","Làm mờ vùng ảnh từ hàng 100 đến 110 bằng bộ lọc trung bình.","Đặt giá trị pixel tại cột 100 đến 110 thành 0 (màu đen).",B
16,"Kiểu dữ liệu (dtype) phổ biến nhất của mảng NumPy dùng để biểu diễn ảnh 8-bit trong OpenCV là gì?","float32 (Số thực 32-bit).","int64 (Số nguyên 64-bit có dấu).","uint8 (Số nguyên không dấu 8-bit, giá trị 0-255).","bool (Giá trị đúng/sai).",C
17,"Để tạo một ảnh nhị phân binary_img từ ảnh xám gray với ngưỡng T=127 bằng NumPy (không dùng cv2.threshold), cú pháp nào sau đây đúng?","binary_img = np.where(gray > 127, 255, 0)","binary_img = np.if(gray > 127, 255, 0)","binary_img = gray.threshold(127)","binary_img = gray > 127 ? 255 : 0",A
18,"Hàm plt.hist(img.ravel(), 256) được sử dụng để làm gì trong bài tập phân tích ảnh?","Làm phẳng ảnh thành mảng 1 chiều và vẽ biểu đồ phân bố độ sáng (Histogram).","Cân bằng lại độ sáng của ảnh để tăng độ tương phản.","Xoay ảnh đi một góc 256 độ theo chiều kim đồng hồ.","Chia ảnh thành 256 vùng nhỏ để xử lý song song.",A
19,"Khi thực hiện phép toán trên mảng ảnh img = 255 - img, kết quả thu được là gì?","Ảnh gốc bị xóa trắng hoàn toàn.","Ảnh âm bản (Negative image) của ảnh gốc.","Ảnh gốc bị giảm độ sáng đi một nửa.","Ảnh gốc được chuyển sang định dạng xám.",B
20,"Nếu bạn muốn đếm số dòng văn bản trong một trang giấy đã được nhị phân hóa (chữ trắng nền đen), kỹ thuật xử lý mảng nào được gợi ý trong phần mở rộng?","Tính tổng giá trị pixel theo trục dọc (Vertical Projection).","Tính tổng giá trị pixel theo trục ngang (Horizontal Projection).","Tính trung bình cộng của toàn bộ pixel trong ảnh.","Đếm số lượng pixel màu trắng trên đường chéo chính.",B
