ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Mô hình Bag-of-Features (BoF) được lấy cảm hứng từ lĩnh vực nào?","Từ lĩnh vực Xử lý ngôn ngữ tự nhiên, coi bức ảnh như tập hợp từ vựng thị giác.","Từ lĩnh vực Vật lý lượng tử, áp dụng nguyên lý bất định vào phân tích hình ảnh.","Từ lĩnh vực Sinh học phân tử, mô phỏng quá trình nhận diện protein trong tế bào.","Từ lĩnh vực Thiên văn học, sử dụng phương pháp phân loại quang phổ sao cho hình ảnh.",A,"Mô hình BoF mượn ý tưởng từ Xử lý ngôn ngữ tự nhiên: coi văn bản là tập hợp từ vựng, tương tự coi bức ảnh là tập hợp các Từ vựng thị giác (Visual Words)."
2,"Giả định độc lập (Independence Assumption) trong mô hình Túi đặc trưng có ý nghĩa gì?","Hệ thống bỏ qua hoàn toàn vị trí không gian, chỉ đếm tần suất xuất hiện đặc trưng.","Hệ thống xử lý từng pixel một cách hoàn toàn độc lập mà không xét đến pixel lân cận.","Hệ thống yêu cầu mỗi ảnh phải chứa đúng một đối tượng duy nhất để phân lớp chính xác.","Hệ thống giả định tất cả ảnh đầu vào có cùng kích thước và cùng tỷ lệ khung hình nhau.",A,"Mô hình Túi ném tất cả bộ phận vào túi, bỏ qua hoàn toàn vị trí tương đối và cấu trúc hình học. Hệ thống chỉ đếm số lượng tần suất mỗi loại đặc trưng."
3,"Quy trình chuẩn của mô hình Bag-of-Features gồm bao nhiêu bước và theo thứ tự nào?","Bốn bước: Trích xuất đặc trưng, Học từ điển, Lượng hóa, và Lập biểu đồ tần suất.","Ba bước: Phân đoạn ảnh, Trích xuất cạnh biên, và Phân lớp bằng cây quyết định.","Năm bước: Thu thập ảnh, Tăng cường dữ liệu, Huấn luyện mô hình, Kiểm thử, Triển khai.","Hai bước: Chuyển đổi ảnh sang vector một chiều và Đưa trực tiếp vào mạng nơ-ron.",A,"Quy trình chuẩn gồm 4 bước: (1) Trích xuất đặc trưng SIFT/SURF, (2) Học Từ điển bằng K-Means, (3) Lượng hóa (ánh xạ đặc trưng vào ID từ vựng), (4) Lập biểu đồ tần suất."
4,"Vấn đề cổ chai (Bottleneck) trong Bước 1 của Bag-of-Features là gì?","Mỗi ảnh trích xuất được số lượng điểm đặc trưng khác nhau, tạo ma trận lệch kích thước.","Các vector đặc trưng SIFT có quá nhiều chiều (128) nên tốn bộ nhớ khi lưu trữ dữ liệu.","Thuật toán trích xuất SIFT chạy quá chậm trên CPU nên bắt buộc phải sử dụng GPU.","Ảnh đầu vào có độ phân giải quá cao nên không thể đưa vào bộ phân lớp KNN được.",A,"Ảnh đơn giản có thể cho 500 điểm, ảnh phức tạp cho 800 điểm. Hai ma trận lệch nhau về kích thước, mà KNN/SVM tuyệt đối không thể so sánh hai ma trận khác kích thước."
5,"Thuật toán K-Means đóng vai trò gì trong Bước 2 Học Từ vựng Thị giác?","Gom các vector đặc trưng giống nhau thành cụm, lấy tâm cụm làm Từ vựng thị giác.","Sắp xếp các vector đặc trưng theo thứ tự tăng dần của giá trị cường độ sáng pixel.","Loại bỏ tất cả vector đặc trưng trùng lặp để chỉ giữ lại các vector duy nhất trong tập.","Chuyển đổi vector đặc trưng từ không gian 128 chiều về không gian hai chiều để trực quan hóa.",A,"K-Means tự động gom các vector có đặc điểm giống nhau thành cụm riêng biệt. Tâm của mỗi cụm được coi là một Từ vựng thị giác, tập hợp các tâm cụm tạo thành Codebook."
6,"Nếu kích thước Từ điển K quá lớn, hệ thống Bag-of-Features gặp vấn đề gì?","Tính toán cực kỳ chậm và hệ thống dễ bị nhận diện sai do nhiễu gây ra Quá khớp.","Hệ thống không có đủ từ vựng để biểu diễn sự đa dạng của các đối tượng trong ảnh.","Biểu đồ tần suất bị nén lại quá nhỏ nên mất đi các chi tiết quan trọng cần phân biệt.","Vector đầu ra có độ dài âm nên không thể đưa vào bộ phân lớp KNN hoặc SVM được.",A,"K quá lớn gây Quá khớp (overfitting): tính toán chậm chạp và hệ thống nhạy cảm quá mức với các điểm nhiễu lặt vặt, dẫn đến nhận diện sai."
7,"Trong Bước 3 Lượng hóa, mỗi vector đặc trưng 128 chiều được xử lý như thế nào?","Đo khoảng cách đến tất cả tâm cụm, gán mã ID của tâm cụm gần nhất rồi bỏ vector.","Cộng dồn với tất cả vector khác trong cùng ảnh để tạo ra một vector trung bình duy nhất.","Nhân ma trận với trọng số đã huấn luyện trước để chiếu xuống không gian hai chiều phẳng.","Chia đều vector thành 128 phần nhỏ rồi gán mỗi phần vào một ô trong biểu đồ histogram.",A,"Hệ thống đo khoảng cách Euclidean từ vector mới đến tất cả tâm cụm, tìm tâm gần nhất, vứt bỏ vector 128 chiều và chỉ giữ lại mã ID duy nhất của từ vựng."
8,"Ý nghĩa cốt lõi của Bước 4 Lập biểu đồ tần suất là gì?","Tạo ra một vector duy nhất có chiều dài cố định K bất kể số điểm đặc trưng ban đầu.","Loại bỏ các từ vựng thị giác có tần suất thấp để giảm kích thước vector đầu ra xuống.","Chuyển đổi ảnh gốc sang dạng ảnh nhị phân đen trắng trước khi đưa vào bộ phân lớp.","Tính trung bình cộng tần suất của tất cả từ vựng để tạo ra một giá trị đại diện duy nhất.",A,"Dù ảnh có 500 hay 5000 điểm đặc trưng, sau khi đếm tần suất sẽ thu được MỘT vector duy nhất có chiều dài cố định bằng K, giải quyết triệt để vấn đề cổ chai."
9,"Hạn chế chí mạng của mô hình Bag-of-Features nguyên thủy là gì?","Mù lòa hoàn toàn trước phân bố hình học, không phân biệt được trên dưới trái phải.","Yêu cầu bắt buộc tất cả ảnh đầu vào phải có cùng kích thước và cùng số kênh màu.","Chỉ hoạt động chính xác với ảnh chứa đúng một đối tượng duy nhất trên nền đồng nhất.","Tốc độ xử lý quá chậm khi số lượng từ vựng trong từ điển lớn hơn một nghìn từ vựng.",A,"BoF chỉ đếm tần suất trong một cái túi, bỏ qua vị trí không gian. Hai ảnh có bố cục trái ngược nhau sẽ sinh ra vector biểu đồ giống hệt nhau."
10,"Phương pháp Khớp Kim tự tháp Không gian (SPM) khắc phục điểm yếu nào của BoF?","Phục hồi thông tin vị trí không gian bằng cách chia ảnh thành lưới đa cấp phân giải.","Tăng tốc quá trình trích xuất đặc trưng SIFT bằng cách sử dụng Ảnh tích phân.","Giảm số chiều của vector đầu ra xuống còn một nửa để tiết kiệm bộ nhớ lưu trữ.","Thay thế hoàn toàn thuật toán K-Means bằng thuật toán phân cụm phổ Spectral Clustering.",A,"SPM chia ảnh thành lưới không gian với độ phân giải tăng dần (1×1, 2×2, 4×4), đếm tần suất cục bộ trong từng ô lưới nhỏ, phục hồi vị trí không gian hai chiều."
