ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Kỹ thuật SMOTE được sử dụng trong bước chuẩn bị dữ liệu nhằm giải quyết vấn đề gì?","Giải quyết mất cân bằng bằng cách sinh thêm mẫu nhân tạo cho các lớp thiểu số.","Loại bỏ hoàn toàn các ảnh bị mờ hoặc có độ phân giải thấp khỏi tập dữ liệu.","Tự động dịch các nhãn đối tượng từ tiếng Anh sang tiếng Việt trước khi huấn luyện.","Chuyển đổi các bức ảnh màu thành ảnh xám để giảm dung lượng lưu trữ trên đĩa cứng.",A,"SMOTE (Synthetic Minority Over-sampling Technique) sinh mẫu nhân tạo cho các lớp ít xuất hiện để cân bằng lại tập dữ liệu, ngăn ngừa sự sai lệch trọng số."
2,"Mô-đun Inception của GoogLeNet mở rộng kiến trúc mạng theo hướng nào?","Mở rộng chiều ngang bằng cách chia tín hiệu qua cấu trúc đa đường chạy song song.","Chỉ tập trung mở rộng chiều sâu bằng cách xếp chồng tuyến tính hàng nghìn lớp gộp.","Hoàn toàn không mở rộng mạng mà nén chúng lại thành một nơ-ron đa năng duy nhất.","Chỉ sử dụng duy nhất một kích thước bộ lọc để đảm bảo tính đồng nhất trên toàn mạng.",A,"Inception đột phá mở rộng theo chiều ngang: tín hiệu qua cấu trúc đa đường song song với các kích thước bộ lọc đa dạng, trích xuất mẫu ở nhiều tỷ lệ."
3,"Bộ lọc kích thước 1x1 trong kiến trúc mạng CNN có tác dụng cốt lõi nào?","Bóp nghẹt dữ liệu như thắt cổ chai để giảm mạnh chiều không gian và chi phí tính toán.","Tăng kích thước ảnh đầu ra lên gấp đôi để phóng to các chi tiết nhỏ trong bức ảnh gốc.","Chuyển đổi cấu trúc mạng CNN truyền thống thành một mạng hồi quy RNN hoàn chỉnh.","Thay thế hàm kích hoạt ReLU để cung cấp tính tuyến tính cho toàn bộ hệ thống mạng.",A,"Tích chập 1x1 phục vụ 3 mục đích: (1) Nắm bắt đặc trưng xuyên kênh, (2) Lớp thắt nút cổ chai (Bottleneck) giảm chiều dữ liệu/tham số, (3) Tăng cường biểu diễn phi tuyến."
4,"Tại sao mạng GoogLeNet bổ sung thêm các 'Bộ phân loại phụ' ở giữa mạng?","Để chống lại hiện tượng triệt tiêu đạo hàm trong quá trình lan truyền ngược.","Để thay thế hoàn toàn vai trò của các lớp kết nối đầy đủ ở đầu ra của mạng.","Để tăng tốc độ hiển thị hình ảnh trên màn hình của các thiết bị di động.","Để cung cấp khả năng tự động dịch ngôn ngữ cho các ứng dụng trí tuệ nhân tạo.",A,"Mạng quá sâu dễ gặp hiện tượng triệt tiêu đạo hàm (Vanishing Gradient). Các bộ phân loại phụ cắm giữa mạng giúp truyền gradient trực tiếp và hỗ trợ điều chuẩn."
5,"'Nghịch lý độ sâu' trong quá trình phát triển mạng CNN biểu hiện như thế nào?","Mạng sâu 34 lớp lại có tỷ lệ lỗi cao hơn mạng 18 lớp do thất bại trong tối ưu hóa.","Mạng càng sâu thì số lượng tham số càng giảm dẫn đến mất khả năng học đặc trưng.","Mạng sâu luôn hội tụ nhanh gấp mười lần so với các mạng nông có cùng cấu trúc.","Mạng sâu chỉ phân loại được hai lớp dữ liệu và thất bại hoàn toàn với đa lớp.",A,"Nghịch lý: Mạng sâu hơn (34 lớp) lại có tỷ lệ lỗi cao hơn mạng nông (18 lớp) cùng kiến trúc. Nguyên nhân không phải quá khớp mà là do tối ưu hóa thất bại (triệt tiêu đạo hàm)."
6,"Kiến trúc ResNet giải quyết hiện tượng triệt tiêu đạo hàm bằng cơ chế toán học nào?","Dùng Kết nối tắt (Skip Connection) cộng tín hiệu đầu vào trực tiếp vào đầu ra lớp cao.","Loại bỏ hoàn toàn thuật toán lan truyền ngược và dùng thuật toán tối ưu bầy đàn.","Nhân đôi giá trị của mọi trọng số sau mỗi chu kỳ huấn luyện để chống giảm đạo hàm.","Chuyển toàn bộ hàm kích hoạt trong mạng sang dạng tuyến tính đơn giản nhất.",A,"ResNet dùng Kết nối tắt (Skip Connection). Tín hiệu x cộng trực tiếp vào đầu ra lớp cao F(x), tạo 'đường cao tốc' cho gradient không bị suy giảm khi lan truyền ngược."
7,"Trong mạng ResNet, luồng lan truyền ngược phản ứng thế nào khi một lớp bị 'chết'?","Tín hiệu vượt qua các lớp chết thông qua kết nối tắt giúp mạng chống chặn gradient.","Toàn bộ luồng tín hiệu bị chặn đứng và quá trình huấn luyện dừng lại hoàn toàn.","Mạng tự động xóa bỏ lớp chết đó và thay thế bằng một lớp kết nối đầy đủ khổng lồ.","Máy tính sẽ phát ra cảnh báo lỗi bộ nhớ và yêu cầu người dùng khởi động lại hệ thống.",A,"Nhờ kết nối tắt, tín hiệu vượt qua các lớp 'chết' hoặc chưa học được đặc trưng, mang lại khả năng chống chặn gradient hoàn hảo."
8,"Mạng Xception cải tiến cấu trúc Inception bằng kỹ thuật đặc biệt nào?","Sử dụng Tích chập tách biệt chiều sâu để tách rời học không gian và xuyên kênh.","Loại bỏ toàn bộ các nhánh song song và khôi phục lại cấu trúc mạch thẳng truyền thống.","Tăng kích thước bộ lọc lên 11x11 để mở rộng vùng cảm nhận trên mọi bản đồ đặc trưng.","Thêm hàng loạt các khối thặng dư vào cuối mạng để xử lý hiện tượng triệt tiêu đạo hàm.",A,"Xception (Chollet, 2016) thay thế Inception bằng Tích chập tách biệt chiều sâu (Depthwise Separable), tách rời học mẫu không gian (Depthwise) và xuyên kênh (Pointwise)."
9,"Khối SENet (Squeeze-and-Excitation) hoạt động dựa trên triết lý gì?","Bỏ qua không gian, tự động đánh giá lại mức độ quan trọng của từng kênh đặc trưng.","Tập trung tối đa vào không gian hình học và bỏ qua hoàn toàn các thông tin màu sắc.","Gộp chung tất cả các mạng nơ-ron thành một mô-đun siêu lớn duy nhất để tính toán.","Tự động loại bỏ hoàn toàn các lớp kết nối tắt để tăng tính cạnh tranh cho các nơ-ron.",A,"SENet (Attention mechanism) bỏ qua không gian, phân tích dọc theo chiều sâu. Nó tự học tương quan chéo và đánh giá lại mức độ quan trọng của từng kênh."
10,"Ba bước hoạt động nội bộ của khối Squeeze-and-Excitation là gì?","Gộp toàn cục để Nén, đi qua lớp ẩn để Kích thích, và nhân chập để Hiệu chỉnh lại.","Trích xuất cạnh biên để Nén, sử dụng hàm tanh để Kích thích, và cộng vector Hiệu chỉnh.","Chia cắt ảnh thành lưới để Nén, phân loại ngẫu nhiên Kích thích, và xóa bỏ Hiệu chỉnh.","Tạo nhiễu nhân tạo để Nén, mã hóa màu sắc để Kích thích, và khôi phục ảnh Hiệu chỉnh.",A,"Khối SE: (1) Squeeze - Gộp trung bình toàn cục nén đặc trưng; (2) Excitation - Qua lớp ẩn & Sigmoid xuất vector 0-1; (3) Hiệu chỉnh - Nhân bản đồ gốc với vector hiệu chỉnh."
