ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"Mục tiêu của Tiết 1 Chương 3 trong môn Thị giác máy tính là gì?","Hiểu bản chất phân đoạn ảnh và kỹ thuật cắt ngưỡng.","Đánh giá chất lượng của camera đo chiều sâu.","Nâng cao chất lượng ảnh bằng các bộ lọc nhiễu.","Phân tích và nhận dạng cảm xúc khuôn mặt người.",A,"Tiết học đầu tiên tập trung vào ""Tổng quan và Kỹ thuật cắt ngưỡng""."
2,"Theo đoạn hội thoại, phân đoạn ảnh (Image Segmentation) là quá trình gì?","Ghép nhiều mảnh ảnh nhỏ thành một bức ảnh lớn hoàn chỉnh.","Chia một ảnh số thành các vùng hoặc tập hợp pixel có ý nghĩa.","Tạo ra các hiệu ứng nghệ thuật trên bề mặt của bức ảnh.","Phóng to các chi tiết nhỏ trong một bức ảnh kỹ thuật số.",B,"Phân đoạn ảnh là quá trình chia một ảnh số thành nhiều vùng hoặc tập hợp các pixel có ý nghĩa."
3,"Bản chất của việc phân đoạn ảnh đối với các pixel trong ảnh là gì?","Loại bỏ các pixel bị hỏng khỏi ma trận của bức ảnh.","Gán cho mỗi pixel trong bức ảnh một cái ""nhãn"" cụ thể.","Tăng cường độ sáng cho tất cả các pixel trong ảnh.","Chuyển đổi toàn bộ pixel sang định dạng ba chiều.",B,"Bản chất là chúng ta đi gán cho mỗi pixel một cái ""nhãn""."
4,"Các pixel có chung đặc tính gì sẽ được gán cùng một nhãn?","Cùng màu sắc, cường độ hay kết cấu biểu diễn.","Cùng nằm trên một đường thẳng hoặc đường chéo.","Cùng chứa các giá trị bị nhiễu trên bề mặt ảnh.","Cùng thuộc góc phần tư thứ nhất của hệ tọa độ.",A,"Các pixel nào có cùng nhãn thì phải có chung đặc tính như màu sắc, cường độ hay kết cấu."
5,"Sinh viên (Người 2) ví von quá trình phân đoạn ảnh tương tự với trò chơi nào?","Trò chơi xếp hình khối Lego thành một tòa nhà lớn.","Trò chơi tô màu theo số trên các trang sách tranh.","Trò chơi tìm điểm khác biệt giữa hai hình ảnh.","Trò chơi ghép các chữ cái thành một câu hoàn chỉnh.",B,"Sinh viên hiểu nôm na là giống như đang chơi trò ""tô màu theo số""."
6,"Trong hệ thống xe tự lái, phân đoạn ảnh giúp nền tảng giải quyết vấn đề gì?","Ghi lại biển số của các xe vi phạm tốc độ giao thông.","Phân biệt con đường, người đi bộ và các vật cản.","Tự động điều chỉnh nhiệt độ và chế độ trong khoang xe.","Phát nhạc giải trí phù hợp với tâm trạng của lái xe.",B,"Nếu nó không phân đoạn được đâu là con đường, đâu là người đi bộ hay vật cản, nó không thể ra quyết định an toàn."
7,"Sự khác biệt chính giữa Phân đoạn ngữ nghĩa và Phân đoạn thực thể là gì?","Phân đoạn thực thể phân biệt được các cá thể riêng lẻ trong cùng một lớp.","Phân đoạn ngữ nghĩa yêu cầu phần cứng máy tính mạnh mẽ và đắt tiền hơn.","Phân đoạn thực thể chỉ xử lý ảnh thang độ xám còn ngữ nghĩa xử lý ảnh màu.","Phân đoạn ngữ nghĩa chỉ tập trung vào việc nhận dạng khuôn mặt con người.",A,"Phân đoạn ngữ nghĩa phân loại pixel vào các lớp. Còn Phân đoạn thực thể nâng cấp hơn: phân biệt được cá thể riêng lẻ."
8,"Quy trình phân đoạn ảnh thường trải qua mấy giai đoạn cốt lõi nhất?","Bốn giai đoạn bao gồm cả việc thu thập dữ liệu gốc ban đầu.","Ba giai đoạn: Tiền xử lý, Thuật toán chính và Hậu xử lý.","Hai giai đoạn cơ bản là lọc nhiễu hình ảnh và xuất kết quả.","Năm giai đoạn tùy thuộc vào độ phân giải của bức ảnh chụp.",B,"Quy trình 3 bước: 1. Tiền xử lý; 2. Áp dụng thuật toán phân đoạn chính; và 3. Hậu xử lý."
9,"Phương pháp cắt ngưỡng (Thresholding) trong thị giác máy tính tạo ra loại ảnh gì?","Ảnh màu sắc độ rực rỡ và có tỷ lệ tương phản sắc nét.","Ảnh nhị phân chỉ bao gồm duy nhất hai màu đen và trắng.","Ảnh 3D hiển thị chi tiết không gian trong môi trường thực tế.","Ảnh Panorama bao quát toàn bộ khung cảnh hiển thị rất rộng.",B,"Kết quả của cắt ngưỡng luôn là một ảnh nhị phân chỉ có hai màu đen và trắng (0 và 1)."
10,"Dù làm mất thông tin cường độ, ảnh nhị phân thu được từ cắt ngưỡng có ưu điểm gì?","Khôi phục lại màu sắc ban đầu của cảnh vật một cách cực nhanh.","Dung lượng bé, dễ lưu trữ và làm nổi bật hình dáng tổng thể.","Giúp máy ảnh chụp được các bức hình trong điều kiện thiếu sáng.","Có thể phóng to vô hạn lần mà không bị vỡ chi tiết đường viền.",B,"Tệp ảnh kết quả rất nhỏ, dễ lưu trữ và nó làm nổi bật hoàn toàn hình dáng tổng thể của vật thể."
