ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
1,"""Vũ khí"" phân đoạn hiện đại nhất để phân tách ảnh được nói đến ở tiết học 3 là gì?","Kỹ thuật của loại Graph-Cut lập khối điểm bề mặt đồ thị ảnh.","Lát cắt đồ thị (Graph-Cut) giúp phân đoạn biên.","Phép lượng hóa hình ảnh ở đo lường màu mức chuẩn hiển thị.","Phân đoạn đường viền qua hệ thống cấu hình lưới chia điểm.",B,"Vũ khí phân đoạn bài này là Cắt đồ thị Graph-Cut."
2,"Để phân giải ảnh thì Graph-Cut quy định việc đổi bức ảnh thành khái niệm gì?","Loại biểu đồ phân tần suất màu sắc ảnh sáng.","Môi trường lưới hiển thị dạng 3D trắng đen.","Một đồ thị trong đó mỗi điểm pixel là một đỉnh (Node).","Phương trình toán học cấu trúc hiển thị ảnh số.",C,"Coi ảnh là một đồ thị. Mỗi pixel chính là một Đỉnh (Node)."
3,"Thông qua dạng đồ thị, khái niệm ""Cạnh"" (Edge) đại diện cho yếu tố gì của bức ảnh?","Sự khác biệt cực đại giữa vùng sáng và vùng tối khuất.","Mật độ hiển thị của những điểm ảnh bị lỗi nhiễu hạt.","Kết nối không gian giữa các pixel láng giềng kề sát nhau.","Sợi viền để bao quanh khu vực đối tượng được viền chọn.",C,"Đại diện cho nối kết lân cận giữa các đỉnh láng giềng với nhau."
4,"Đỉnh Nguồn (Source - S) và Đỉnh Cống (Sink - T) đại diện cho khái niệm gì?","Nguồn điểm sáng chói nhất, Cống khu vực bề mặt tối mịt.","Nguồn đại diện cho vật thể, Cống đại diện cho mặt nền.","Nguồn là gốc ở vị trí giữa khung, Cống là viền góc ngoài.","Nguồn cấu trúc ở điểm bắt đầu, Cống là mốc kết thúc dò.",B,"Source đại diện tượng trưng cho Nguồn vật thể, Sink cho Cống mặt nền."
5,"Máy phân đoạn Graph-Cut tìm cách giải bài toán chia pixel để đạt được kết quả gì?","Ghép tất cả điểm ảnh với cả hệ nguồn S và hệ nền T.","Cắt đứt kết nối để mỗi pixel chỉ dính vào một phe duy nhất.","Xóa hoàn toàn bỏ cấu trúc đỉnh điểm hệ trục không gian S T.","Chia hệ tọa độ để điểm chia san nối Nguồn cho khu Cống nền.",B,"Phải chia đứt kết nối sao cho mỗi pixel chỉ kết nối với duy nhất một phe."
6,"Trọng số Cạnh-n (nối pixel láng giềng) sẽ có kết quả cao đối với trường hợp nào?","Hai điểm pixel ở đó đạt được mức hiển thị điểm màu giống nhau.","Hai vị trí điểm ảnh phân cực nằm đối ngược tách xa nhau ra.","Cường độ chiếu sáng của hai mặt hoàn toàn ngược khác biệt.","Tệp ảnh đầu vào khi bị lượng hạt làm nhòe trên phần diện rộng.",A,"Vì giống nhau nên trọng số sẽ rất cao để khó bị cắt đứt đường nối biên."
7,"Mục tiêu của thuật toán tìm ""Lát cắt tối thiểu"" (Min-Cut) là đo lường nhằm tối ưu hóa gì?","Là số đường cắt qua của hệ lưới cạnh có mức điểm lượng bé ít.","Là lát cắt có tổng trọng số các cạnh bị cắt qua ở mức thấp nhất.","Tính khoảng cách giãn giữa hệ lưới Nguồn cực tới hệ khu Cống.","Hạn chế thời gian tiêu hao hệ thống lúc tính toán thuật toán sâu.",B,"Là lát cắt có tổng số trọng lượng các cạnh bị cắt đứt nhỏ nhất."
8,"Điều gì giúp Min-cut tạo ra được ranh giới viền quanh khu vực phân đoạn cực kỳ chuẩn?","Là nhờ chia cắt dọc đứng bức cấu hình theo tỷ lệ đều cho máy.","Máy cắt qua vùng có màu đồng nhất để tránh bị lỗi hiển thị trộn.","Vì lát cắt luôn chọn đi qua nơi trọng số thấp tạo thành ranh giới.","Vì hệ thống luôn có thể can thiệp thủ công từ lúc chạy đến cuối vòng.",C,"Máy sẽ chọn qua nơi có trọng số biên thấp, chính là ranh giới ngoài."
9,"Đâu là thứ tạo thành hạn chế của thuật toán Graph-Cut nguyên bản tự gây ra bất tiện lớn?","Yêu cầu bộ nhớ RAM tải với dung lượng rất khủng nếu chạy.","Chỉ chạy với các vùng cấu trúc vật khối lượng bo viền tròn tròn.","Đòi hỏi người dùng đánh dấu nhiều điểm ""hạt giống"" mốc nối.","Từ màu gốc bị phai biến thể nhạt nhòa sau khi thuật toán quét qua.",C,"Người dùng phải đánh dấu rất nhiều hạt giống cho thuật toán tự quét biên."
10,"Thuật toán mới GrabCut không yêu cầu người dùng đánh dấu hạt giống mà cần làm gì?","Chỉ thông số vị trí cấu hình 3D cho vật cần lấy từ bên trong.","Vẽ một cái khung chữ nhật bao quanh khép kín quanh đối tượng.","Tả bằng chữ văn bản cho phần mảng hiển thị khu muốn lấy vật.","Chia cắt theo các ô bàn cờ vuông vắn và tiến click vào loại điểm.",B,"GrabCut chỉ cần vòng khung chữ nhật khuếch viền quanh vật là đủ hiểu biên."
11,"GrabCut sử dụng hệ thống mô hình thuật toán gì để tự động học sự phân bố màu sắc vật?","Sử dụng hệ phân đoạn K-Means tạo cụm làm cấu trúc hàm chuẩn mẫu.","Mô hình hỗn hợp Gaussian (GMM) giúp xây học hệ màu tự động dò biên.","Mạng lưới theo thần phân lớp tích lớp nơ siêu cấu chập mạng sâu đo CNN.","Một kỹ thuật tạo toán nhận diện làm hệ phân đường hình học viền biên Canny vi.",B,"Dùng Mô hình Hỗn hợp Gauss hệ GMM phân định tính mảng màu chuẩn làm nền."
12,"Quy trình tối ưu hóa mà phân đoạn GrabCut tạo đường biên để làm sao cắt trở nên mịn?","Lặp lại quá trình tinh chỉnh thay đổi kết quả sau nhiều lần xử lý vòng.","Trực cắt lấy đường viền nền bị đục đem vùng mảng màu đắp chèn đi bằng khối.","Hệ cấu vẽ quanh bề vi nét nhằm làm tăng điểm thêm độ dày đường cho mặt ảnh.","Dành quy vào liên thay vi liên qua vùng Gauss và đắp trực bộ lọc mượt ảo hóa.",A,"Là để lặp tinh chỉnh hệ số thay thế qua các chu trình nhằm tăng độ mịn biên."
13,"Biến thông số `mask` thuộc hàm lập trình `cv2.grabCut` trên OpenCV có lượng chứa bao nhiêu trạng thái?","Chứa giá trị cho loại ở mốc chỉ còn nền và cho dạng mặt vật.","Đúng 4 giá trị trạng thái là vật chắc chắn, nền, có thể vật và nền.","Tùy quy chuẩn theo tệp hiển thị chứa kích hình ảnh ở dạng của gốc.","Trải đều từ dải quy tính mức 0 trở tới dài số cực định qua cho vi phân.",B,"Mask chứa 4 trạng thái (vật chắc chắn, nền chắc chắn, có thể vật, có thể nền)."
14,"Biến chạy tham số cấu iterCount của OpenCV cho hàm GrabCut cần được thiết lập chọn cho lặp bao nhiêu lần?","Vòng chạy khoảng mức 100 vi số quy ở cấu hình bảo đảm thời lặp.","Khoảng 5 vòng lặp là mức độ tối ưu chuẩn đủ để cấu tạo hình ảnh.","Ép số chạy chỉ cần một cấu vòng thiết bước để vòng tiết quá số lần.","Không không chạy vòng trong bất trình cấu cho bộ quy không ở với.",B,"Chạy lặp khoảng mức 5 vòng là đủ kết quả hội tụ tối ưu tốt đẹp cho biên mượt."
15,"Giai đoạn tiền xử lý trước khi thuật toán hoạt động của ""Pipeline"" đoạn ảnh thường làm gì?","Sử dụng nhiều toán học hình về thái viền giúp bao kín hổng ảnh bị lỗi.","Dùng bộ lọc Gaussian làm mịn ảnh, giảm nhiễu trước khi phân đoạn.","Tạo lưới mạng đa chiều phân định AI khởi tính kết mảng hình nguồn.","Biến tạo ra tìm khu đặc vị đối các tìm hiện tạo biên điểm nhận diện biên đồ.",B,"Dùng lọc làm Gaussian làm mượt làm mịn ảnh bước tiền đoạn sơ khai bảo về biên."
16,"Phép Opening/Closing thuộc về công đoạn nào ở quy chuẩn của việc tạo chạy thuật phân đoạn?","Thường đưa vào lúc tiền quy làm của bề đoạn phần xử đoạn lúc thô.","Khâu ứng lõi là của lõi lúc mốc cấu phần vào phân cốt ở do lõi do của lõi.", "Giai đoạn hậu xử lý dùng lấp các lỗ hổng nhiễu sau khi đã cắt biên.","Hệ đo lặp chạy hàm hệ từ của ứng GrabCut vào lúc biến từ thao ở chạy tác.",C,"Mốc giai đoạn đó chính là Hậu xử lý xóa nhiễu dọn bề bằng ở hổng của loại vi biên."
17,"Điều khiến ứng dụng GrabCut có ưu việt khi tách cánh hoa mảnh mà kỹ thuật khác thất bại là gì?","Quét rất tốc tốc lúc nhanh rất của nhạy ở độ lướt từ ảnh độ lướt do vì lướt rất.","Thuật to quy cấu đi bằng lúc của lấy mảng biên đường để mảng cho chia do chia viền khối.", "Do có tính liên hợp với các pixel láng giềng khiến sự vật không bị ngắt.","Vẽ có vi của giới trực lấy khu mô vẽ bao đi vào của hệ khung qua máy lập với của hình vi.",C,"GrabCut có chức năng theo liên kết pixel láng giềng bảo đảm cánh mảnh nối biên."
18,"Chiến thuật hoàn hảo nhằm hỗ trợ tách chữ trên tối nền ánh sáng tài liệu Labs của học viên?","Bằng việc xẻ khung nền Threshold tẩy đi thay dùng màu toàn đi trắng màu cục bộ cấu.","Tiến dùng do K-Means đi mảng cho làm chữ in rồi in máy chữ chữ các in sau chữ các tắt đậm.", "Dùng CLAHE làm sáng cục bộ, rồi phân biên chữ Adaptive Threshold.","Hệ cho nét chồng do cho đồ lúc chồng GrabCut vào chồng nét mờ cắt đồ mờ cắt mờ khói cắt đồ do khói nét.",C,"Dùng CLAHE đều sáng xong mới đánh ngưỡng Adaptive Threshold để tách chữ do bóng."
19,"Dựa theo điểm tiêu chí ở Lab 3, thì tiêu chí đánh giá cho sinh viên tập trung ưu tiên quy đo điều gì?","Tính tự máy ngẫu chạy chạy tải tự tải GrabCut do lượng tự nhiều lượng lúc chạy tự máy ảnh ảnh ảnh.","Đánh giá cao tính ứng dụng ở sự phối hợp thuật toán ở khâu thiết kế Pipeline.","Mốc cho do cực cực đi sâu do ở lúc vào đưa ở ở lúc sâu đưa ở mạng do do cấu học mạng máy.", "Chạy Canny ở từ một của lúc lúc một của dòng một từ dòng lúc qua có Canny bằng chỉ thông của.",B,"Tính ưu điểm của lập trình kết hợp quy tạo theo đường dẫn Pipeline tốt mức."
20,"Bài học kế sinh viên trong Chương 4 sinh tiếp trong sẽ mô về điều học tập trung gì để?","Dải cho nhị màu sắc theo sắc tạo sắc cho theo hệ quy bằng tại cho hệ quy quang mã.","Cấu ứng khối vào gian hệ ứng lúc hệ cắt khối gian điểm vào hệ đa cắt 3D đồ thiết gian.","Đo điểm do lúc phục biến do khôi ứng phục lúc độ do máy mốc màu độ nâng lúc có phục máy.","Học về phát hiện và đặc trưng mô tả chuẩn dùng SIFT SURF hệ Canny để vi định.",D,"Chương 4 tiếp theo sinh viên sẽ học về Canny, SURF và SIFT mô tả đặc trưng hình."
